YEAR,MONTH,DAY,STID,PDIR,WSPD
2014,11,29,ACME,9,20.97
2014,11,30,ACME,1,18.56
2014,12,1,ACME,0,15.29
2014,12,2,ACME,-996,6.94
2014,12,3,ACME,3,7.78
2014,12,4,ACME,-996,4.85
2014,12,5,ACME,0,11.52
2014,12,6,ACME,1,8.82
2014,12,7,ACME,8,5.85
2014,12,8,ACME,-996,3.96
2014,12,9,ACME,-996,4.13
2014,12,10,ACME,6,7.47
2014,12,11,ACME,6,5.49
2014,12,12,ACME,5,7
2014,12,13,ACME,7,14.18
2014,12,14,ACME,7,18.77
2014,12,15,ACME,14,15.88
2014,12,16,ACME,15,8.78
2014,12,17,ACME,6,7.22
2014,12,18,ACME,-996,5.3
2014,12,19,ACME,1,5.96
2014,12,20,ACME,-996,5.92
2014,12,21,ACME,7,14.46
2014,12,22,ACME,15,10.35
2014,12,23,ACME,15,11.71
2014,12,24,ACME,15,11.56
2014,12,25,ACME,8,20.07
2014,12,26,ACME,8,14.49
2014,12,27,ACME,-996,11.72
2014,12,28,ACME,-996,5.37
2014,12,29,ACME,5,9.26
2014,12,30,ACME,0,16.29
2014,12,31,ACME,-996,10.1
