H0085,Tue Jul 01 15:00:00 PDT 2003,39.8,-75.68,0,270
H0610,Tue Jul 01 15:00:00 PDT 2003,29.98,-98.087,0.89,30
H0090,Tue Jul 01 15:01:00 PDT 2003,30.6701,-88.1156,1.34,200
H0091,Tue Jul 01 15:00:00 PDT 2003,30.16,-85.66,1.34,160
H0094,Tue Jul 01 15:00:00 PDT 2003,49.78,-97.2,1.79,130
MN008,Tue Jul 01 15:00:01 PDT 2003,43.63869,-95.11854,6.94,195
MN009,Tue Jul 01 15:00:01 PDT 2003,43.66305,-94.12244,3.61,155
MN015,Tue Jul 01 15:00:02 PDT 2003,45.83765,-95.36622,7.5,170
MN020,Tue Jul 01 15:00:03 PDT 2003,46.68822,-93.95449,2.22,170
MN021,Tue Jul 01 15:00:00 PDT 2003,44.94926,-95.40952,6.67,150
MN024,Tue Jul 01 15:00:07 PDT 2003,48.57236,-96.91488,8.06,175
MN069,Tue Jul 01 15:00:00 PDT 2003,44.28482,-91.98967,3.89,205
MN025,Tue Jul 01 15:00:07 PDT 2003,48.81951,-95.96101,6.11,170
F2017,Tue Jul 01 15:03:00 PDT 2003,34.62417,-93.80611,0.89,280
QBRA3,Tue Jul 01 15:01:00 PDT 2003,36.79445,-113.75667,5.36,320
QCWA3,Tue Jul 01 15:00:00 PDT 2003,34.19972,-110.11916,4.02,300
QEMA3,Tue Jul 01 15:02:00 PDT 2003,31.78056,-110.63472,4.92,320
QGDA3,Tue Jul 01 15:03:00 PDT 2003,34.75,-113.3,6.71,230
QGSA3,Tue Jul 01 15:03:00 PDT 2003,36.70444,-112.58334,6.26,220
NS005,Tue Jul 01 15:00:00 PDT 2003,34.16,-109.98,4.02,270
TR071,Tue Jul 01 15:02:00 PDT 2003,36.39,-113.15222,0.89,70
QRCA3,Tue Jul 01 15:01:00 PDT 2003,31.76111,-109.34861,5.36,260
NS007,Tue Jul 01 15:00:00 PDT 2003,32.31667,-110.81333,4.92,330
BNDC1,Tue Jul 01 15:01:00 PDT 2003,37.13167,-122.17,1.79,130
